location,latitude,longitude
Bath,51.3813864,-2.3596963
Brighton,50.8214626,-0.1400561
Cambridge,52.2055314,0.1186637
Canterbury,51.2800275,1.0802533
Chester,53.1908873,-2.8908955
Cornwall,50.416667,-4.75
Cotswolds,51.7489426,-0.2303335
Devon,50.7241405,-3.6607788
Durham,54.666667,-1.75
Edinburgh,55.9533456,-3.1883749
Exeter,50.7256138,-3.5269209
Glasgow,55.861155,-4.2501687
Harrogate,53.9921491,-1.5391039
Highlands,57.3333333,-4.25
Inverness,57.4790124,-4.225739
Norfolk,52.666667,1.0
Northumberland,55.25,-2.000559
Oxford,51.7520131,-1.2578499
Stratford-upon-Avon,52.1927803,-1.70634
Suffolk,52.2410014,1.0465716
Windsor,51.4837886,-0.6040419
York,53.9656579,-1.0743052
